_id,_pct_missed,_judgments,_hidden,_contention,_pct_contested,_gold_pool,_review_state,_added_by,_created_at,_what_is_the_authors_sentiment_feeling_throughout_the_post,what_is_the_authors_sentiment_feeling_throughout_the_post_gold,what_is_the_authors_sentiment_feeling_throughout_the_post_gold_reason,text,emotion,id
2675899418,0.01,100,false,"",0.0,,,created,3/8/2020 13:04:55,"","excitement
happy
pleasant","The author says that the building is beautiful, which shows that the feeling is happy.",@whitewinery St. Basil's is beautiful. Orthodox have some beautiful cathedrals - like this: https://t.co/HAa2emZhCc,happy,1236029457728704514
2675899530,0.22,94,false,"",0.0,,,created,3/8/2020 13:06:12,"",angry,This is easy. In most cases these words show that the author is angry.,@eruditechalamet Hot damn,angry,1236033903670038530
2675899599,0.22,87,false,"",0.0,,,created,3/8/2020 13:07:08,"",happy,The content shows the author's love. So the emotion must be happy.,"@OuamroucheH @chancetotravel @MuchMorocco @Visit_Morocco_ Thankyou, we love ? Morocco ?? too. I¡¯m glad to hear it ?",happy,1236028522898100225
2675899958,0.05,83,true,"",0.0,,,created,3/8/2020 13:10:11,"angry
fear
excitement
surprise
pleasant
happy",excitement,"The author wants to protect others, so the emotion is excitement.","@Eisner_etext I insist. Though I know you to be more than capable of your own defense, I will not allow them to strike you.",angry,1236034629292957697
2675900103,0.07,89,true,"",0.0,,,created,3/8/2020 13:11:59,"happy
excitement
pleasant
surprise
fear
angry",excitement,The author is excited about what he is saying.,"@Badluckrabbit @LeadedInk @DrFudge765 I'm glad that my top tweet is #2, right after my feet dox https://t.co/CO7woS0jtl",pleasant,1236027607625408515
2675900263,0.06,89,true,"",0.0,,,created,3/8/2020 13:13:27,"fear
surprise
pleasant
angry
excitement
happy","surprise
angry","","They had a part, but only a very small one.

      And he¡¯s going to stay oblivious, because Sam doesn¡¯t want to ruin this...",surprise,1236027725653000198
2675900300,0.23,79,false,"",0.0,,,created,3/8/2020 13:13:52,"",angry,"",love clingy but if im angry or its hot out? you need to back the fuck up,angry,1236033761365479424
2675900384,0.07,91,true,"",0.0,,,created,3/8/2020 13:15:01,"fear
pleasant
excitement
angry
surprise
happy",pleasant,"",may god protect asim from all this wickedness on earth and buri nazar from evil eyes,fear,1236028979661938688
2675904309,0.42,12,false,The author is NOT angry! He is excited or expressing +ve feelings about the music. Please FIX.,0.0833,,,created,3/8/2020 13:56:40,"",angry,This is easy. The author is angry.,Fuck what y¡¯all Talkin bout uzi album hot as shit ????,angry,1236031332792373249
2675904593,0.29,17,false,"",0.0,,,created,3/8/2020 13:57:25,"","happy
pleasant","",@KaraboTebedi Your skin looks like those beautiful stones that you can find that have these shapes and colors which make them beautiful,happy,1236029390468919299
2675904690,0.71,17,false,"",0.0,,,created,3/8/2020 13:57:39,"",surprise,"","#BREAKING:Why won't @USArmy CONFIRM OR DENY whether @senatemajldr,one of the most powerful politicians who's currently up for reelection,was EVER the subject of a court martial?

#TheResistance #MitchMcConnell #CNN #MSNBC #Yahoo #mondaythoughts #FBRParty
https://t.co/dkpzf4x0Pz",angry,1236034664055308288
2675904968,0.50,12,false,"",0.0,,,created,3/8/2020 13:58:22,"","pleasant
angry","","@jendoesthething Minori, you are NOT a delinquent.

Takeru is just, you know, a type. Kinda tsun, hot cosplayer, athletic.",angry,1236030783359500288
2675905090,0.13,15,false,SUPERRRRRRRRR UNFAAAAIIIIIRRRRRRRR!!!!!!!!!!!,0.0667,,,created,3/8/2020 13:58:46,"","surprise
fear
angry","","Should we hold our breath waiting for you to condemn Senator Schumer's threats against 2 Supreme Court justices?
https://t.co/y55ztSFjSb",angry,1236028773994291202
2675905213,0.31,13,false,"",0.0,,,created,3/8/2020 13:59:06,"","fear
angry","",WHY is she threatening a god?,fear,1236027788546760705
2675905275,0.29,14,false,unfair.,0.0714,,,created,3/8/2020 13:59:19,"",fear,"","'What's the worst that could happen' oh no, I already know something bad is gonna happen",excitement,1236027591577997314
